Training on single CPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|     120 |         480 |       00:00:17 |       51.27% |       47.70% |       1.8427 |       1.8510 |          0.0010 |
|     125 |         500 |       00:00:18 |       51.66% |              |       1.8248 |              |          0.0010 |
|     128 |         510 |       00:00:18 |       49.02% |       48.18% |       1.8132 |       1.8247 |          0.0010 |
|     135 |         540 |       00:00:18 |       52.25% |       48.70% |       1.7907 |       1.7998 |          0.0010 |
|     138 |         550 |       00:00:18 |       50.10% |              |       1.7798 |              |          0.0010 |
|     143 |         570 |       00:00:18 |       50.10% |       49.24% |       1.7641 |       1.7762 |          0.0010 |
|     150 |         600 |       00:00:19 |       53.12% |       49.86% |       1.7442 |       1.7540 |          0.0010 |
|     158 |         630 |       00:00:19 |       51.46% |       50.44% |       1.7203 |       1.7329 |          0.0010 |
|     163 |         650 |       00:00:19 |       51.46% |              |       1.7068 |              |          0.0010 |
|     165 |         660 |       00:00:19 |       53.52% |       50.92% |       1.7027 |       1.7132 |          0.0010 |
|     173 |         690 |       00:00:20 |       52.64% |       51.34% |       1.6814 |       1.6945 |          0.0010 |
|     175 |         700 |       00:00:20 |       53.61% |              |       1.6776 |              |          0.0010 |
|     180 |         720 |       00:00:20 |       53.61% |       51.88% |       1.6657 |       1.6769 |          0.0010 |
|     188 |         750 |       00:00:20 |       53.32% |       52.38% |       1.6468 |       1.6603 |          0.0010 |
|     195 |         780 |       00:00:21 |       54.59% |       52.62% |       1.6328 |       1.6446 |          0.0010 |
|     200 |         800 |       00:00:21 |       54.49% |              |       1.6226 |              |          0.0010 |
|     203 |         810 |       00:00:21 |       53.81% |       52.90% |       1.6159 |       1.6297 |          0.0010 |
|     210 |         840 |       00:00:21 |       54.69% |       53.24% |       1.6033 |       1.6157 |          0.0010 |
|     213 |         850 |       00:00:21 |       54.49% |              |       1.5971 |              |          0.0010 |
|     218 |         870 |       00:00:22 |       54.59% |       53.42% |       1.5881 |       1.6023 |          0.0010 |
|     225 |         900 |       00:00:22 |       54.98% |       53.78% |       1.5768 |       1.5897 |          0.0010 |
|     233 |         930 |       00:00:22 |       55.18% |       54.10% |       1.5630 |       1.5776 |          0.0010 |
|     238 |         950 |       00:00:22 |       55.37% |              |       1.5552 |              |          0.0010 |
|     240 |         960 |       00:00:23 |       56.05% |       54.40% |       1.5527 |       1.5661 |          0.0010 |
|     248 |         990 |       00:00:23 |       55.57% |       54.66% |       1.5402 |       1.5551 |          0.0010 |
|     250 |        1000 |       00:00:23 |       56.64% |              |       1.5379 |              |          0.0010 |
|     255 |        1020 |       00:00:23 |       56.74% |       54.90% |       1.5308 |       1.5446 |          0.0010 |
|     263 |        1050 |       00:00:24 |       55.96% |       55.24% |       1.5194 |       1.5346 |          0.0010 |
|     270 |        1080 |       00:00:24 |       57.32% |       55.46% |       1.5108 |       1.5250 |          0.0010 |
|     275 |        1100 |       00:00:24 |       57.52% |              |       1.5044 |              |          0.0010 |
|     278 |        1110 |       00:00:24 |       56.84% |       55.74% |       1.5002 |       1.5158 |          0.0010 |
|     285 |        1140 |       00:00:24 |       58.20% |       55.82% |       1.4923 |       1.5070 |          0.0010 |
|     288 |        1150 |       00:00:25 |       57.23% |              |       1.4883 |              |          0.0010 |
|     293 |        1170 |       00:00:25 |       57.42% |       56.10% |       1.4825 |       1.4984 |          0.0010 |
|     300 |        1200 |       00:00:25 |       58.59% |       56.46% |       1.4752 |       1.4903 |          0.0010 |
|     308 |        1230 |       00:00:25 |       58.40% |       56.54% |       1.4662 |       1.4824 |          0.0010 |
|     313 |        1250 |       00:00:26 |       58.69% |              |       1.4609 |              |          0.0010 |
|     315 |        1260 |       00:00:26 |       58.79% |       56.72% |       1.4594 |       1.4749 |          0.0010 |
|     323 |        1290 |       00:00:26 |       58.98% |       56.94% |       1.4509 |       1.4675 |          0.0010 |
|     325 |        1300 |       00:00:26 |       58.89% |              |       1.4494 |              |          0.0010 |
|     330 |        1320 |       00:00:26 |       59.18% |       57.18% |       1.4446 |       1.4605 |          0.0010 |
|     338 |        1350 |       00:00:27 |       59.08% |       57.40% |       1.4366 |       1.4537 |          0.0010 |
|     345 |        1380 |       00:00:27 |       59.57% |       57.58% |       1.4307 |       1.4471 |          0.0010 |
|     350 |        1400 |       00:00:27 |       59.57% |              |       1.4263 |              |          0.0010 |
|     353 |        1410 |       00:00:27 |       59.38% |       57.66% |       1.4232 |       1.4407 |          0.0010 |
|     360 |        1440 |       00:00:28 |       59.86% |       58.00% |       1.4177 |       1.4346 |          0.0010 |
|     363 |        1450 |       00:00:28 |       59.96% |              |       1.4148 |              |          0.0010 |
|     368 |        1470 |       00:00:28 |       59.96% |       58.08% |       1.4107 |       1.4285 |          0.0010 |
|     375 |        1500 |       00:00:29 |       60.45% |       58.18% |       1.4055 |       1.4228 |          0.0010 |
|     383 |        1530 |       00:00:30 |       60.25% |       58.36% |       1.3988 |       1.4171 |          0.0010 |
|     388 |        1550 |       00:00:31 |       60.25% |              |       1.3950 |              |          0.0010 |
|     390 |        1560 |       00:00:31 |       60.84% |       58.40% |       1.3939 |       1.4117 |          0.0010 |
|     398 |        1590 |       00:00:33 |       60.55% |       58.46% |       1.3876 |       1.4063 |          0.0010 |
|     400 |        1600 |       00:00:33 |       61.23% |              |       1.3866 |              |          0.0010 |
|     405 |        1620 |       00:00:35 |       61.43% |       58.56% |       1.3830 |       1.4012 |          0.0010 |
|     413 |        1650 |       00:00:36 |       60.64% |       58.68% |       1.3769 |       1.3961 |          0.0010 |
|     420 |        1680 |       00:00:38 |       61.52% |       58.82% |       1.3726 |       1.3913 |          0.0010 |
|     425 |        1700 |       00:00:39 |       61.62% |              |       1.3692 |              |          0.0010 |
|     428 |        1710 |       00:00:39 |       61.23% |       59.06% |       1.3668 |       1.3865 |          0.0010 |
|     435 |        1740 |       00:00:41 |       61.62% |       59.06% |       1.3627 |       1.3819 |          0.0010 |
|     438 |        1750 |       00:00:41 |       61.33% |              |       1.3604 |              |          0.0010 |
|     443 |        1770 |       00:00:42 |       61.33% |       59.10% |       1.3572 |       1.3773 |          0.0010 |
|     450 |        1800 |       00:00:44 |       62.01% |       59.34% |       1.3532 |       1.3729 |          0.0010 |
|     458 |        1830 |       00:00:46 |       61.52% |       59.50% |       1.3480 |       1.3686 |          0.0010 |
|     463 |        1850 |       00:00:47 |       61.62% |              |       1.3450 |              |          0.0010 |
|     465 |        1860 |       00:00:47 |       62.11% |       59.70% |       1.3442 |       1.3644 |          0.0010 |
|     473 |        1890 |       00:00:49 |       61.62% |       59.68% |       1.3392 |       1.3603 |          0.0010 |
|     475 |        1900 |       00:00:49 |       62.40% |              |       1.3385 |              |          0.0010 |
|     480 |        1920 |       00:00:51 |       62.30% |       59.76% |       1.3356 |       1.3563 |          0.0010 |
|     488 |        1950 |       00:00:52 |       61.72% |       59.84% |       1.3308 |       1.3524 |          0.0010 |
|     495 |        1980 |       00:00:54 |       62.40% |       59.92% |       1.3274 |       1.3486 |          0.0010 |
|     500 |        2000 |       00:00:55 |       62.50% |              |       1.3247 |              |          0.0010 |
|     503 |        2010 |       00:00:55 |       61.82% |       59.94% |       1.3228 |       1.3448 |          0.0010 |
|     510 |        2040 |       00:00:57 |       62.60% |       60.02% |       1.3194 |       1.3412 |          0.0010 |
|     512 |        2048 |       00:00:58 |       62.79% |       60.04% |       1.3184 |       1.3402 |          0.0010 |
|======================================================================================================================|
Training finished: Max epochs completed.
