Training on single CPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|     120 |         480 |       00:00:16 |       76.27% |       68.58% |       0.7298 |       0.9200 |          0.0010 |
|     125 |         500 |       00:00:16 |       77.05% |              |       0.7127 |              |          0.0010 |
|     128 |         510 |       00:00:16 |       78.32% |       68.94% |       0.6718 |       0.9016 |          0.0010 |
|     135 |         540 |       00:00:17 |       77.83% |       69.54% |       0.6770 |       0.8860 |          0.0010 |
|     138 |         550 |       00:00:17 |       80.47% |              |       0.6274 |              |          0.0010 |
|     143 |         570 |       00:00:17 |       80.76% |       69.56% |       0.6114 |       0.8780 |          0.0010 |
|     150 |         600 |       00:00:18 |       78.71% |       70.24% |       0.6362 |       0.8629 |          0.0010 |
|     158 |         630 |       00:00:18 |       82.42% |       70.38% |       0.5614 |       0.8525 |          0.0010 |
|     163 |         650 |       00:00:19 |       81.93% |              |       0.5550 |              |          0.0010 |
|     165 |         660 |       00:00:19 |       79.79% |       71.08% |       0.5978 |       0.8379 |          0.0010 |
|     173 |         690 |       00:00:19 |       83.69% |       71.36% |       0.5179 |       0.8268 |          0.0010 |
|     175 |         700 |       00:00:19 |       81.35% |              |       0.5745 |              |          0.0010 |
|     180 |         720 |       00:00:20 |       81.64% |       72.50% |       0.5510 |       0.8108 |          0.0010 |
|     188 |         750 |       00:00:20 |       85.45% |       72.72% |       0.4771 |       0.8019 |          0.0010 |
|     195 |         780 |       00:00:21 |       83.20% |       73.16% |       0.5194 |       0.7921 |          0.0010 |
|     200 |         800 |       00:00:21 |       83.20% |              |       0.5083 |              |          0.0010 |
|     203 |         810 |       00:00:21 |       85.35% |       73.56% |       0.4643 |       0.7828 |          0.0010 |
|     210 |         840 |       00:00:22 |       84.47% |       74.54% |       0.4797 |       0.7638 |          0.0010 |
|     213 |         850 |       00:00:22 |       88.28% |              |       0.4140 |              |          0.0010 |
|     218 |         870 |       00:00:22 |       87.89% |       74.98% |       0.4055 |       0.7541 |          0.0010 |
|     225 |         900 |       00:00:23 |       86.91% |       75.32% |       0.4448 |       0.7433 |          0.0010 |
|     233 |         930 |       00:00:23 |       89.65% |       75.68% |       0.3707 |       0.7370 |          0.0010 |
|     238 |         950 |       00:00:24 |       89.06% |              |       0.3693 |              |          0.0010 |
|     240 |         960 |       00:00:24 |       87.89% |       75.44% |       0.4156 |       0.7442 |          0.0010 |
|     248 |         990 |       00:00:24 |       90.43% |       76.04% |       0.3416 |       0.7284 |          0.0010 |
|     250 |        1000 |       00:00:24 |       88.28% |              |       0.4089 |              |          0.0010 |
|     255 |        1020 |       00:00:25 |       88.48% |       77.18% |       0.3845 |       0.7125 |          0.0010 |
|     263 |        1050 |       00:00:25 |       91.02% |       77.50% |       0.3180 |       0.7008 |          0.0010 |
|     270 |        1080 |       00:00:26 |       89.75% |       77.80% |       0.3549 |       0.6961 |          0.0010 |
|     275 |        1100 |       00:00:26 |       89.36% |              |       0.3481 |              |          0.0010 |
|     278 |        1110 |       00:00:26 |       92.58% |       78.20% |       0.2905 |       0.6951 |          0.0010 |
|     285 |        1140 |       00:00:27 |       90.33% |       78.56% |       0.3289 |       0.6874 |          0.0010 |
|     288 |        1150 |       00:00:27 |       92.77% |              |       0.2768 |              |          0.0010 |
|     293 |        1170 |       00:00:28 |       93.07% |       78.98% |       0.2788 |       0.6823 |          0.0010 |
|     300 |        1200 |       00:00:28 |       91.31% |       78.48% |       0.3071 |       0.6916 |          0.0010 |
|     308 |        1230 |       00:00:29 |       93.85% |       78.68% |       0.2482 |       0.6920 |          0.0010 |
|     313 |        1250 |       00:00:29 |       93.46% |              |       0.2619 |              |          0.0010 |
|     315 |        1260 |       00:00:29 |       92.19% |       78.46% |       0.2872 |       0.6947 |          0.0010 |
|     323 |        1290 |       00:00:30 |       94.43% |       79.46% |       0.2391 |       0.6780 |          0.0010 |
|     325 |        1300 |       00:00:30 |       92.38% |              |       0.2784 |              |          0.0010 |
|     330 |        1320 |       00:00:30 |       92.58% |       79.86% |       0.2680 |       0.6611 |          0.0010 |
|     338 |        1350 |       00:00:31 |       94.73% |       80.06% |       0.2169 |       0.6599 |          0.0010 |
|     345 |        1380 |       00:00:31 |       93.95% |       80.32% |       0.2473 |       0.6590 |          0.0010 |
|     350 |        1400 |       00:00:31 |       92.87% |              |       0.2436 |              |          0.0010 |
|     353 |        1410 |       00:00:32 |       95.41% |       80.24% |       0.2017 |       0.6632 |          0.0010 |
|     360 |        1440 |       00:00:32 |       93.65% |       80.34% |       0.2328 |       0.6606 |          0.0010 |
|     363 |        1450 |       00:00:32 |       95.21% |              |       0.1974 |              |          0.0010 |
|     368 |        1470 |       00:00:33 |       95.70% |       80.00% |       0.1920 |       0.6742 |          0.0010 |
|     375 |        1500 |       00:00:33 |       93.16% |       80.90% |       0.2372 |       0.6609 |          0.0010 |
|     383 |        1530 |       00:00:34 |       95.41% |       80.80% |       0.1906 |       0.6554 |          0.0010 |
|     388 |        1550 |       00:00:34 |       95.61% |              |       0.1847 |              |          0.0010 |
|     390 |        1560 |       00:00:34 |       93.85% |       80.94% |       0.2130 |       0.6505 |          0.0010 |
|     398 |        1590 |       00:00:35 |       96.09% |       81.06% |       0.1664 |       0.6555 |          0.0010 |
|     400 |        1600 |       00:00:35 |       94.73% |              |       0.2007 |              |          0.0010 |
|     405 |        1620 |       00:00:35 |       95.21% |       81.06% |       0.1953 |       0.6539 |          0.0010 |
|     413 |        1650 |       00:00:36 |       96.88% |       80.94% |       0.1549 |       0.6598 |          0.0010 |
|     420 |        1680 |       00:00:36 |       96.29% |       80.74% |       0.1769 |       0.6594 |          0.0010 |
|     425 |        1700 |       00:00:37 |       96.09% |              |       0.1743 |              |          0.0010 |
|     428 |        1710 |       00:00:37 |       97.27% |       81.40% |       0.1463 |       0.6563 |          0.0010 |
|     435 |        1740 |       00:00:37 |       96.88% |       81.28% |       0.1641 |       0.6603 |          0.0010 |
|     438 |        1750 |       00:00:37 |       97.56% |              |       0.1437 |              |          0.0010 |
|     443 |        1770 |       00:00:38 |       97.36% |       81.12% |       0.1374 |       0.6627 |          0.0010 |
|     450 |        1800 |       00:00:38 |       96.00% |       80.96% |       0.1673 |       0.6616 |          0.0010 |
|     458 |        1830 |       00:00:39 |       97.85% |       81.22% |       0.1290 |       0.6670 |          0.0010 |
|     463 |        1850 |       00:00:39 |       96.88% |              |       0.1368 |              |          0.0010 |
|     465 |        1860 |       00:00:39 |       97.17% |       81.94% |       0.1521 |       0.6472 |          0.0010 |
|     473 |        1890 |       00:00:40 |       98.24% |       81.34% |       0.1197 |       0.6647 |          0.0010 |
|     475 |        1900 |       00:00:40 |       97.46% |              |       0.1453 |              |          0.0010 |
|     480 |        1920 |       00:00:40 |       96.58% |       81.76% |       0.1516 |       0.6521 |          0.0010 |
|     488 |        1950 |       00:00:41 |       97.95% |       81.74% |       0.1165 |       0.6519 |          0.0010 |
|     495 |        1980 |       00:00:41 |       97.95% |       81.58% |       0.1270 |       0.6630 |          0.0010 |
|     500 |        2000 |       00:00:42 |       97.85% |              |       0.1262 |              |          0.0010 |
|     503 |        2010 |       00:00:42 |       98.63% |       81.64% |       0.1050 |       0.6592 |          0.0010 |
|     510 |        2040 |       00:00:42 |       98.24% |       82.12% |       0.1218 |       0.6541 |          0.0010 |
|     512 |        2048 |       00:00:43 |       97.75% |       81.84% |       0.1225 |       0.6598 |          0.0010 |
|======================================================================================================================|
Training finished: Max epochs completed.
