Training on single CPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|     120 |         480 |       00:00:15 |       58.50% |       54.76% |       1.1979 |       1.2638 |          0.0010 |
|     125 |         500 |       00:00:15 |       59.38% |              |       1.1589 |              |          0.0010 |
|     128 |         510 |       00:00:15 |       61.91% |       56.66% |       1.0700 |       1.2101 |          0.0010 |
|     135 |         540 |       00:00:16 |       62.40% |       58.26% |       1.0830 |       1.1661 |          0.0010 |
|     138 |         550 |       00:00:16 |       64.06% |              |       0.9973 |              |          0.0010 |
|     143 |         570 |       00:00:16 |       66.41% |       60.40% |       0.9539 |       1.1249 |          0.0010 |
|     150 |         600 |       00:00:16 |       66.89% |       61.72% |       0.9834 |       1.0801 |          0.0010 |
|     158 |         630 |       00:00:17 |       69.53% |       63.04% |       0.8624 |       1.0427 |          0.0010 |
|     163 |         650 |       00:00:17 |       70.90% |              |       0.8240 |              |          0.0010 |
|     165 |         660 |       00:00:17 |       69.34% |       63.76% |       0.8882 |       1.0173 |          0.0010 |
|     173 |         690 |       00:00:18 |       74.12% |       65.20% |       0.7670 |       0.9921 |          0.0010 |
|     175 |         700 |       00:00:18 |       70.90% |              |       0.8322 |              |          0.0010 |
|     180 |         720 |       00:00:18 |       72.27% |       66.20% |       0.8061 |       0.9564 |          0.0010 |
|     188 |         750 |       00:00:19 |       76.66% |       67.72% |       0.6983 |       0.9219 |          0.0010 |
|     195 |         780 |       00:00:19 |       75.10% |       68.54% |       0.7308 |       0.8985 |          0.0010 |
|     200 |         800 |       00:00:19 |       75.00% |              |       0.7091 |              |          0.0010 |
|     203 |         810 |       00:00:19 |       79.59% |       68.40% |       0.6330 |       0.9043 |          0.0010 |
|     210 |         840 |       00:00:20 |       77.34% |       70.36% |       0.6624 |       0.8567 |          0.0010 |
|     213 |         850 |       00:00:20 |       81.05% |              |       0.5913 |              |          0.0010 |
|     218 |         870 |       00:00:20 |       81.35% |       69.88% |       0.5746 |       0.8479 |          0.0010 |
|     225 |         900 |       00:00:21 |       79.30% |       72.02% |       0.5980 |       0.8160 |          0.0010 |
|     233 |         930 |       00:00:21 |       83.89% |       71.88% |       0.5240 |       0.8061 |          0.0010 |
|     238 |         950 |       00:00:21 |       84.18% |              |       0.5140 |              |          0.0010 |
|     240 |         960 |       00:00:21 |       81.35% |       73.36% |       0.5437 |       0.7785 |          0.0010 |
|     248 |         990 |       00:00:22 |       85.45% |       74.06% |       0.4835 |       0.7639 |          0.0010 |
|     250 |        1000 |       00:00:22 |       82.62% |              |       0.5145 |              |          0.0010 |
|     255 |        1020 |       00:00:22 |       83.69% |       74.60% |       0.4868 |       0.7515 |          0.0010 |
|     263 |        1050 |       00:00:23 |       87.11% |       74.96% |       0.4400 |       0.7361 |          0.0010 |
|     270 |        1080 |       00:00:23 |       86.23% |       75.60% |       0.4404 |       0.7226 |          0.0010 |
|     275 |        1100 |       00:00:23 |       86.91% |              |       0.4262 |              |          0.0010 |
|     278 |        1110 |       00:00:24 |       87.99% |       75.50% |       0.3935 |       0.7237 |          0.0010 |
|     285 |        1140 |       00:00:24 |       87.30% |       76.50% |       0.3947 |       0.6963 |          0.0010 |
|     288 |        1150 |       00:00:24 |       89.06% |              |       0.3756 |              |          0.0010 |
|     293 |        1170 |       00:00:24 |       90.04% |       76.70% |       0.3526 |       0.6954 |          0.0010 |
|     300 |        1200 |       00:00:25 |       89.26% |       77.26% |       0.3519 |       0.6793 |          0.0010 |
|     308 |        1230 |       00:00:25 |       89.94% |       77.96% |       0.3327 |       0.6646 |          0.0010 |
|     313 |        1250 |       00:00:25 |       90.82% |              |       0.3067 |              |          0.0010 |
|     315 |        1260 |       00:00:26 |       91.11% |       78.26% |       0.3209 |       0.6567 |          0.0010 |
|     323 |        1290 |       00:00:26 |       91.02% |       78.62% |       0.2887 |       0.6565 |          0.0010 |
|     325 |        1300 |       00:00:26 |       91.60% |              |       0.2941 |              |          0.0010 |
|     330 |        1320 |       00:00:26 |       92.38% |       78.94% |       0.2862 |       0.6440 |          0.0010 |
|     338 |        1350 |       00:00:27 |       91.99% |       79.36% |       0.2664 |       0.6448 |          0.0010 |
|     345 |        1380 |       00:00:27 |       92.77% |       79.22% |       0.2551 |       0.6373 |          0.0010 |
|     350 |        1400 |       00:00:28 |       92.77% |              |       0.2526 |              |          0.0010 |
|     353 |        1410 |       00:00:28 |       93.75% |       79.56% |       0.2351 |       0.6519 |          0.0010 |
|     360 |        1440 |       00:00:28 |       93.85% |       79.74% |       0.2311 |       0.6317 |          0.0010 |
|     363 |        1450 |       00:00:28 |       93.95% |              |       0.2274 |              |          0.0010 |
|     368 |        1470 |       00:00:29 |       94.63% |       79.90% |       0.2118 |       0.6554 |          0.0010 |
|     375 |        1500 |       00:00:30 |       94.82% |       79.50% |       0.2062 |       0.6444 |          0.0010 |
|     383 |        1530 |       00:00:31 |       94.92% |       79.86% |       0.1939 |       0.6593 |          0.0010 |
|     388 |        1550 |       00:00:32 |       95.21% |              |       0.1916 |              |          0.0010 |
|     390 |        1560 |       00:00:33 |       95.51% |       79.18% |       0.1923 |       0.6718 |          0.0010 |
|     398 |        1590 |       00:00:35 |       94.82% |       79.08% |       0.1926 |       0.7163 |          0.0010 |
|     400 |        1600 |       00:00:35 |       95.02% |              |       0.1933 |              |          0.0010 |
|     405 |        1620 |       00:00:36 |       93.55% |       73.72% |       0.2115 |       0.8987 |          0.0010 |
|     413 |        1650 |       00:00:38 |       82.81% |       78.68% |       0.4329 |       0.7256 |          0.0010 |
|     420 |        1680 |       00:00:40 |       94.63% |       80.72% |       0.1938 |       0.6541 |          0.0010 |
|     425 |        1700 |       00:00:41 |       95.31% |              |       0.1776 |              |          0.0010 |
|     428 |        1710 |       00:00:42 |       96.58% |       81.48% |       0.1697 |       0.5933 |          0.0010 |
|     435 |        1740 |       00:00:44 |       96.00% |       82.28% |       0.1672 |       0.5903 |          0.0010 |
|     438 |        1750 |       00:00:45 |       96.78% |              |       0.1625 |              |          0.0010 |
|     443 |        1770 |       00:00:46 |       96.88% |       82.18% |       0.1585 |       0.5864 |          0.0010 |
|     450 |        1800 |       00:00:48 |       96.68% |       82.46% |       0.1530 |       0.5867 |          0.0010 |
|     458 |        1830 |       00:00:50 |       96.97% |       82.64% |       0.1484 |       0.5843 |          0.0010 |
|     463 |        1850 |       00:00:51 |       96.97% |              |       0.1456 |              |          0.0010 |
|     465 |        1860 |       00:00:52 |       97.17% |       82.70% |       0.1427 |       0.5852 |          0.0010 |
|     473 |        1890 |       00:00:54 |       97.17% |       82.76% |       0.1400 |       0.5834 |          0.0010 |
|     475 |        1900 |       00:00:54 |       97.46% |              |       0.1367 |              |          0.0010 |
|     480 |        1920 |       00:00:56 |       97.66% |       82.78% |       0.1338 |       0.5849 |          0.0010 |
|     488 |        1950 |       00:00:58 |       97.46% |       83.12% |       0.1317 |       0.5829 |          0.0010 |
|     495 |        1980 |       00:01:00 |       98.14% |       82.94% |       0.1258 |       0.5850 |          0.0010 |
|     500 |        2000 |       00:01:01 |       98.24% |              |       0.1233 |              |          0.0010 |
|     503 |        2010 |       00:01:01 |       97.66% |       83.26% |       0.1239 |       0.5837 |          0.0010 |
|     510 |        2040 |       00:01:03 |       98.34% |       83.22% |       0.1184 |       0.5859 |          0.0010 |
|     512 |        2048 |       00:01:04 |       98.34% |       83.38% |       0.1172 |       0.5855 |          0.0010 |
|======================================================================================================================|
Training finished: Max epochs completed.
