Training on single CPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|     120 |         480 |       00:00:14 |       62.50% |       58.78% |       1.1692 |       1.2303 |          0.0010 |
|     125 |         500 |       00:00:14 |       63.57% |              |       1.1516 |              |          0.0010 |
|     128 |         510 |       00:00:14 |       65.04% |       59.68% |       1.0991 |       1.2068 |          0.0010 |
|     135 |         540 |       00:00:14 |       64.45% |       60.74% |       1.1177 |       1.1842 |          0.0010 |
|     138 |         550 |       00:00:14 |       66.80% |              |       1.0649 |              |          0.0010 |
|     143 |         570 |       00:00:15 |       68.16% |       61.56% |       1.0486 |       1.1626 |          0.0010 |
|     150 |         600 |       00:00:15 |       66.60% |       62.34% |       1.0697 |       1.1418 |          0.0010 |
|     158 |         630 |       00:00:15 |       69.04% |       63.04% |       1.0030 |       1.1224 |          0.0010 |
|     163 |         650 |       00:00:15 |       69.24% |              |       0.9890 |              |          0.0010 |
|     165 |         660 |       00:00:16 |       68.07% |       63.68% |       1.0257 |       1.1039 |          0.0010 |
|     173 |         690 |       00:00:16 |       69.82% |       64.12% |       0.9622 |       1.0866 |          0.0010 |
|     175 |         700 |       00:00:16 |       69.34% |              |       0.9989 |              |          0.0010 |
|     180 |         720 |       00:00:16 |       69.34% |       64.52% |       0.9860 |       1.0698 |          0.0010 |
|     188 |         750 |       00:00:17 |       71.19% |       64.94% |       0.9245 |       1.0539 |          0.0010 |
|     195 |         780 |       00:00:17 |       69.92% |       65.40% |       0.9493 |       1.0383 |          0.0010 |
|     200 |         800 |       00:00:17 |       70.31% |              |       0.9375 |              |          0.0010 |
|     203 |         810 |       00:00:17 |       72.46% |       65.78% |       0.8898 |       1.0232 |          0.0010 |
|     210 |         840 |       00:00:18 |       70.90% |       66.04% |       0.9142 |       1.0084 |          0.0010 |
|     213 |         850 |       00:00:18 |       72.95% |              |       0.8671 |              |          0.0010 |
|     218 |         870 |       00:00:18 |       73.05% |       66.78% |       0.8559 |       0.9937 |          0.0010 |
|     225 |         900 |       00:00:18 |       71.88% |       67.04% |       0.8798 |       0.9790 |          0.0010 |
|     233 |         930 |       00:00:19 |       74.02% |       67.78% |       0.8232 |       0.9646 |          0.0010 |
|     238 |         950 |       00:00:19 |       74.22% |              |       0.8125 |              |          0.0010 |
|     240 |         960 |       00:00:19 |       73.54% |       67.98% |       0.8462 |       0.9504 |          0.0010 |
|     248 |         990 |       00:00:19 |       74.71% |       68.58% |       0.7919 |       0.9367 |          0.0010 |
|     250 |        1000 |       00:00:20 |       74.32% |              |       0.8244 |              |          0.0010 |
|     255 |        1020 |       00:00:20 |       74.41% |       69.08% |       0.8136 |       0.9235 |          0.0010 |
|     263 |        1050 |       00:00:20 |       76.17% |       69.64% |       0.7625 |       0.9105 |          0.0010 |
|     270 |        1080 |       00:00:21 |       75.29% |       70.24% |       0.7825 |       0.8979 |          0.0010 |
|     275 |        1100 |       00:00:21 |       75.49% |              |       0.7721 |              |          0.0010 |
|     278 |        1110 |       00:00:21 |       77.44% |       70.88% |       0.7343 |       0.8854 |          0.0010 |
|     285 |        1140 |       00:00:21 |       76.46% |       71.26% |       0.7520 |       0.8733 |          0.0010 |
|     288 |        1150 |       00:00:21 |       78.22% |              |       0.7164 |              |          0.0010 |
|     293 |        1170 |       00:00:22 |       78.42% |       71.96% |       0.7078 |       0.8616 |          0.0010 |
|     300 |        1200 |       00:00:22 |       77.05% |       72.24% |       0.7231 |       0.8501 |          0.0010 |
|     308 |        1230 |       00:00:22 |       79.59% |       72.84% |       0.6827 |       0.8391 |          0.0010 |
|     313 |        1250 |       00:00:22 |       79.59% |              |       0.6748 |              |          0.0010 |
|     315 |        1260 |       00:00:23 |       77.93% |       73.22% |       0.6959 |       0.8280 |          0.0010 |
|     323 |        1290 |       00:00:23 |       80.27% |       73.66% |       0.6592 |       0.8175 |          0.0010 |
|     325 |        1300 |       00:00:23 |       78.32% |              |       0.6784 |              |          0.0010 |
|     330 |        1320 |       00:00:23 |       78.42% |       73.82% |       0.6699 |       0.8069 |          0.0010 |
|     338 |        1350 |       00:00:24 |       81.45% |       74.18% |       0.6367 |       0.7969 |          0.0010 |
|     345 |        1380 |       00:00:24 |       79.79% |       74.50% |       0.6448 |       0.7866 |          0.0010 |
|     350 |        1400 |       00:00:24 |       80.18% |              |       0.6368 |              |          0.0010 |
|     353 |        1410 |       00:00:24 |       82.32% |       74.92% |       0.6153 |       0.7769 |          0.0010 |
|     360 |        1440 |       00:00:25 |       80.66% |       75.22% |       0.6211 |       0.7672 |          0.0010 |
|     363 |        1450 |       00:00:25 |       82.91% |              |       0.6018 |              |          0.0010 |
|     368 |        1470 |       00:00:25 |       83.40% |       75.60% |       0.5951 |       0.7578 |          0.0010 |
|     375 |        1500 |       00:00:26 |       81.45% |       75.84% |       0.5985 |       0.7482 |          0.0010 |
|     383 |        1530 |       00:00:27 |       84.28% |       76.32% |       0.5752 |       0.7384 |          0.0010 |
|     388 |        1550 |       00:00:28 |       84.77% |              |       0.5685 |              |          0.0010 |
|     390 |        1560 |       00:00:29 |       83.11% |       76.44% |       0.5760 |       0.7283 |          0.0010 |
|     398 |        1590 |       00:00:30 |       85.16% |       77.06% |       0.5550 |       0.7178 |          0.0010 |
|     400 |        1600 |       00:00:31 |       83.79% |              |       0.5605 |              |          0.0010 |
|     405 |        1620 |       00:00:32 |       84.18% |       77.04% |       0.5530 |       0.7077 |          0.0010 |
|     413 |        1650 |       00:00:34 |       85.94% |       77.74% |       0.5348 |       0.6976 |          0.0010 |
|     420 |        1680 |       00:00:36 |       84.96% |       77.88% |       0.5304 |       0.6872 |          0.0010 |
|     425 |        1700 |       00:00:37 |       85.35% |              |       0.5229 |              |          0.0010 |
|     428 |        1710 |       00:00:38 |       86.62% |       78.32% |       0.5152 |       0.6770 |          0.0010 |
|     435 |        1740 |       00:00:39 |       85.74% |       78.48% |       0.5082 |       0.6667 |          0.0010 |
|     438 |        1750 |       00:00:40 |       87.11% |              |       0.5021 |              |          0.0010 |
|     443 |        1770 |       00:00:41 |       87.50% |       79.00% |       0.4956 |       0.6567 |          0.0010 |
|     450 |        1800 |       00:00:43 |       86.43% |       79.16% |       0.4868 |       0.6465 |          0.0010 |
|     458 |        1830 |       00:00:45 |       88.09% |       79.68% |       0.4763 |       0.6367 |          0.0010 |
|     463 |        1850 |       00:00:46 |       88.57% |              |       0.4699 |              |          0.0010 |
|     465 |        1860 |       00:00:47 |       87.40% |       80.20% |       0.4659 |       0.6266 |          0.0010 |
|     473 |        1890 |       00:00:49 |       88.87% |       80.50% |       0.4574 |       0.6169 |          0.0010 |
|     475 |        1900 |       00:00:49 |       87.89% |              |       0.4523 |              |          0.0010 |
|     480 |        1920 |       00:00:50 |       88.09% |       80.86% |       0.4455 |       0.6071 |          0.0010 |
|     488 |        1950 |       00:00:52 |       90.14% |       81.34% |       0.4391 |       0.5975 |          0.0010 |
|     495 |        1980 |       00:00:54 |       89.06% |       81.60% |       0.4254 |       0.5873 |          0.0010 |
|     500 |        2000 |       00:00:55 |       89.26% |              |       0.4188 |              |          0.0010 |
|     503 |        2010 |       00:00:56 |       90.92% |       81.92% |       0.4207 |       0.5778 |          0.0010 |
|     510 |        2040 |       00:00:58 |       89.55% |       82.48% |       0.4059 |       0.5680 |          0.0010 |
|     512 |        2048 |       00:00:58 |       89.55% |       82.50% |       0.4034 |       0.5655 |          0.0010 |
|======================================================================================================================|
Training finished: Max epochs completed.
